epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,0.011209966614842415,
0,19,,0.0075154732912778854,
0,29,,0.007567883003503084,
0,39,,0.0055753570050001144,
0,49,,0.008787937462329865,
0,59,,0.007566342130303383,
0,69,,0.006183639168739319,
0,72,,,0.006419626995921135
0,72,0.022220371291041374,,
1,79,,0.00584405055269599,
1,89,,0.005173790268599987,
1,99,,0.005268046632409096,
1,109,,0.005914570763707161,
1,119,,0.005695482715964317,
1,129,,0.007333115208894014,
1,139,,0.00612292904406786,
1,145,,,0.006151073146611452
1,145,0.014938807114958763,,
2,149,,0.006269894540309906,
2,159,,0.00631951866671443,
2,169,,0.006590040400624275,
2,179,,0.4992542862892151,
2,189,,0.005297035910189152,
2,199,,0.0058507369831204414,
2,209,,0.005015272181481123,
2,218,,,0.00601126067340374
2,218,0.012879796326160431,,
3,219,,0.0066009340807795525,
3,229,,0.006125736981630325,
3,239,,0.006282889284193516,
3,249,,0.007311161141842604,
3,259,,0.005375890992581844,
3,269,,0.0061607058160007,
3,279,,0.005960769020020962,
3,289,,0.006285065785050392,
3,291,,,0.005948858335614204
3,291,0.014100347645580769,,
4,299,,0.005734757054597139,
4,309,,0.005198054946959019,
4,319,,0.005891819484531879,
4,329,,0.007288457825779915,
4,339,,0.004918151069432497,
4,349,,0.005142028443515301,
4,359,,0.006948056165128946,
4,364,,,0.005831228103488684
4,364,0.011775609105825424,,
5,369,,0.007325703743845224,
5,379,,0.005711040459573269,
5,389,,0.004922698251903057,
5,399,,0.00550658255815506,
5,409,,0.005152733996510506,
5,419,,0.00655810022726655,
5,429,,0.005623080767691135,
5,437,,,0.005763026420027018
5,437,0.00845168437808752,,
6,439,,0.00525782210752368,
6,449,,0.005999466869980097,
6,459,,0.00625193677842617,
6,469,,0.005141029134392738,
6,479,,0.005839327350258827,
6,489,,0.004160946235060692,
6,499,,0.006856018677353859,
6,509,,0.0053666019812226295,
6,510,,,0.005669659469276667
6,510,0.006783646997064352,,
7,519,,0.00554763525724411,
7,529,,0.005131370387971401,
7,539,,0.005105272866785526,
7,549,,0.005535503849387169,
7,559,,0.0052659898065030575,
7,569,,0.004452538210898638,
7,579,,0.00502152182161808,
7,583,,,0.005600173491984606
7,583,0.007065791171044111,,
8,589,,0.006265758071094751,
8,599,,0.005108981393277645,
8,609,,0.006072944961488247,
8,619,,0.0051001920364797115,
8,629,,0.007318306248635054,
8,639,,0.005493533797562122,
8,649,,0.0046775005757808685,
8,656,,,0.005530182737857103
8,656,0.007287157233804464,,
9,659,,0.004975940566509962,
9,669,,0.005189728923141956,
9,679,,0.006159423850476742,
9,689,,0.005730847828090191,
9,699,,0.005419203545898199,
9,709,,0.005555899813771248,
9,719,,0.005065725184977055,
9,729,,0.013692818582057953,
9,729,,,0.005431766621768475
9,729,0.007234994322061539,,
10,739,,0.006193722132593393,
10,749,,0.005548407323658466,
10,759,,0.0048402403481304646,
10,769,,0.005290158558636904,
10,779,,0.004281249828636646,
10,789,,0.004867973737418652,
10,799,,0.006228720303624868,
10,802,,,0.005357168614864349
10,802,0.007133385632187128,,
11,809,,0.005737928673624992,
11,819,,0.005991780199110508,
11,829,,0.005059831775724888,
11,839,,0.005411089397966862,
11,849,,0.005376510322093964,
11,859,,0.004625488072633743,
11,869,,0.00542515330016613,
11,875,,,0.005294977221637964
11,875,0.00686614029109478,,
12,879,,0.004067675210535526,
12,889,,0.004436304327100515,
12,899,,0.004632056690752506,
12,909,,0.00551815889775753,
12,919,,0.004508154466748238,
12,929,,0.004610763397067785,
12,939,,0.004475710913538933,
12,948,,,0.005208523012697697
12,948,0.006672571413218975,,
13,949,,0.006482786498963833,
13,959,,0.006053247954696417,
13,969,,0.005231876857578754,
13,979,,0.00485244020819664,
13,989,,0.00513037433847785,
13,999,,0.004550128243863583,
13,1009,,0.004099532961845398,
13,1019,,0.005688781850039959,
13,1021,,,0.005136022809892893
13,1021,0.006572703830897808,,
14,1029,,0.006399954203516245,
14,1039,,0.004755668807774782,
14,1049,,0.004764102399349213,
14,1059,,0.00471565593034029,
14,1069,,0.004857473541051149,
14,1079,,0.0047336239367723465,
14,1089,,0.004199313931167126,
14,1094,,,0.005083548370748758
14,1094,0.006395634729415178,,
15,1099,,0.005153914913535118,
15,1109,,0.005094538442790508,
15,1119,,0.0048426678404212,
15,1129,,0.005553587339818478,
15,1139,,0.004780004732310772,
15,1149,,0.005045194178819656,
15,1159,,0.004012365825474262,
15,1167,,,0.00504725705832243
15,1167,0.006637925282120705,,
16,1169,,0.0046292939223349094,
16,1179,,0.005095255561172962,
16,1189,,0.004593288525938988,
16,1199,,0.00584058603271842,
16,1209,,0.006053701043128967,
16,1219,,0.005432256497442722,
16,1229,,0.005055062472820282,
16,1239,,0.004606564529240131,
16,1240,,,0.004985101521015167
16,1240,0.006203914061188698,,
17,1249,,0.004720883443951607,
17,1259,,0.004512733779847622,
17,1269,,0.004658650606870651,
17,1279,,0.00453992560505867,
17,1289,,0.003902578726410866,
17,1299,,0.004398621618747711,
17,1309,,0.007416475564241409,
17,1313,,,0.004951734095811844
17,1313,0.005887532606720924,,
18,1319,,0.0044393702410161495,
18,1329,,0.0044849589467048645,
18,1339,,0.004761851392686367,
18,1349,,0.004087082110345364,
18,1359,,0.005353710614144802,
18,1369,,0.00416044844314456,
18,1379,,0.00468321330845356,
18,1386,,,0.0049081104807555676
18,1386,0.0056515042670071125,,
19,1389,,0.004972880706191063,
19,1399,,0.004713165573775768,
19,1409,,0.004216078668832779,
19,1419,,0.004659982398152351,
19,1429,,0.04868597909808159,
19,1439,,0.005227170884609222,
19,1449,,0.004359056241810322,
19,1459,,0.004338858649134636,
19,1459,,,0.004872114863246679
19,1459,0.005294946022331715,,
20,1469,,0.004348103888332844,
20,1479,,0.004528596065938473,
20,1489,,0.004083144478499889,
20,1499,,0.004317685030400753,
