epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.0001,9,,,
0,,9,,5.546726703643799,
,0.0001,19,,,
0,,19,,5.546170234680176,
,0.0001,29,,,
0,,29,,5.544987678527832,
,0.0001,39,,,
0,,39,,5.545708656311035,
,0.0001,49,,,
0,,49,,5.542863845825195,
,0.0001,59,,,
0,,59,,5.539281845092773,
,0.0001,69,,,
0,,69,,5.475064277648926,
0,,72,,,5.295669078826904
0,,72,5.536550998687744,,
,0.0001,79,,,
1,,79,,5.166050434112549,
,0.0001,89,,,
1,,89,,5.016688823699951,
,0.0001,99,,,
1,,99,,5.180846214294434,
,0.0001,109,,,
1,,109,,4.940943717956543,
,0.0001,119,,,
1,,119,,4.882983207702637,
,0.0001,129,,,
1,,129,,4.86384391784668,
,0.0001,139,,,
1,,139,,4.911560535430908,
1,,145,,,4.848770618438721
1,,145,4.971897125244141,,
,0.0001,149,,,
2,,149,,4.878108024597168,
,0.0001,159,,,
2,,159,,4.78732442855835,
,0.0001,169,,,
2,,169,,4.68762731552124,
,0.0001,179,,,
2,,179,,4.734455585479736,
,0.0001,189,,,
2,,189,,4.765368938446045,
,0.0001,199,,,
2,,199,,4.808915138244629,
,0.0001,209,,,
2,,209,,4.849559783935547,
2,,218,,,4.675289154052734
2,,218,4.769398212432861,,
,0.0001,219,,,
3,,219,,4.725072860717773,
,0.0001,229,,,
3,,229,,4.6446638107299805,
,0.0001,239,,,
3,,239,,4.683465003967285,
,0.0001,249,,,
3,,249,,4.633447647094727,
,0.0001,259,,,
3,,259,,4.635565757751465,
,0.0001,269,,,
3,,269,,4.647736549377441,
,0.0001,279,,,
3,,279,,4.628879547119141,
,0.0001,289,,,
3,,289,,4.6059370040893555,
3,,291,,,4.61072301864624
3,,291,4.688098430633545,,
,0.0001,299,,,
4,,299,,4.621153831481934,
,0.0001,309,,,
4,,309,,4.608758926391602,
,0.0001,319,,,
4,,319,,4.606279373168945,
,0.0001,329,,,
4,,329,,4.5707106590271,
,0.0001,339,,,
4,,339,,4.700228691101074,
,0.0001,349,,,
4,,349,,4.626611709594727,
,0.0001,359,,,
4,,359,,4.6909499168396,
4,,364,,,4.539707660675049
4,,364,4.616820812225342,,
,0.0001,369,,,
5,,369,,4.500387191772461,
,0.0001,379,,,
5,,379,,4.540685653686523,
,0.0001,389,,,
5,,389,,4.66567325592041,
,0.0001,399,,,
5,,399,,4.589426040649414,
,0.0001,409,,,
5,,409,,4.536302089691162,
,0.0001,419,,,
5,,419,,4.557730674743652,
,0.0001,429,,,
5,,429,,4.490933418273926,
5,,437,,,4.513649940490723
5,,437,4.536363124847412,,
,0.0001,439,,,
6,,439,,4.494540214538574,
,0.0001,449,,,
6,,449,,4.517337799072266,
,0.0001,459,,,
6,,459,,4.528871536254883,
,0.0001,469,,,
6,,469,,4.424744606018066,
,0.0001,479,,,
6,,479,,4.416351318359375,
,0.0001,489,,,
6,,489,,4.394670486450195,
,0.0001,499,,,
6,,499,,4.355690002441406,
,0.0001,509,,,
6,,509,,4.574894905090332,
6,,510,,,4.5097222328186035
6,,510,4.471100330352783,,
,0.0001,519,,,
7,,519,,4.506386756896973,
,0.0001,529,,,
7,,529,,4.348106384277344,
,0.0001,539,,,
7,,539,,4.325711727142334,
,0.0001,549,,,
7,,549,,4.436829090118408,
,0.0001,559,,,
7,,559,,4.461687088012695,
,0.0001,569,,,
7,,569,,4.478366851806641,
,0.0001,579,,,
7,,579,,4.443809509277344,
7,,583,,,4.414216041564941
7,,583,4.441709041595459,,
,0.0001,589,,,
8,,589,,4.389949798583984,
,0.0001,599,,,
8,,599,,4.311049461364746,
,0.0001,609,,,
8,,609,,4.377272605895996,
,0.0001,619,,,
8,,619,,4.415431022644043,
,0.0001,629,,,
8,,629,,4.381890296936035,
,0.0001,639,,,
8,,639,,4.466802597045898,
,0.0001,649,,,
8,,649,,4.349870204925537,
8,,656,,,4.48955774307251
8,,656,4.384861469268799,,
,0.0001,659,,,
9,,659,,4.442124366760254,
,0.0001,669,,,
9,,669,,4.270959854125977,
,0.0001,679,,,
9,,679,,4.352887153625488,
,0.0001,689,,,
9,,689,,4.509366035461426,
,0.0001,699,,,
9,,699,,4.326498031616211,
,0.0001,709,,,
9,,709,,4.284494876861572,
,0.0001,719,,,
9,,719,,4.357887268066406,
,0.0001,729,,,
9,,729,,1.974541425704956,
9,,729,,,4.283703804016113
9,,729,4.335736274719238,,
,0.0001,739,,,
10,,739,,4.30223274230957,
,0.0001,749,,,
10,,749,,4.265077590942383,
,0.0001,759,,,
10,,759,,4.306623458862305,
,0.0001,769,,,
10,,769,,4.332763671875,
,0.0001,779,,,
10,,779,,4.180492401123047,
,0.0001,789,,,
10,,789,,4.204453468322754,
,0.0001,799,,,
10,,799,,4.377366065979004,
10,,802,,,4.264292240142822
10,,802,4.291666030883789,,
,0.0001,809,,,
11,,809,,4.319719314575195,
,0.0001,819,,,
11,,819,,4.26235294342041,
,0.0001,829,,,
11,,829,,4.34496545791626,
,0.0001,839,,,
11,,839,,4.332522869110107,
,0.0001,849,,,
11,,849,,4.186138153076172,
,0.0001,859,,,
11,,859,,4.259554862976074,
,0.0001,869,,,
11,,869,,4.274211883544922,
11,,875,,,4.240872859954834
11,,875,4.24594259262085,,
,0.0001,879,,,
12,,879,,4.314068794250488,
,0.0001,889,,,
12,,889,,4.3141045570373535,
,0.0001,899,,,
12,,899,,4.163922309875488,
,0.0001,909,,,
12,,909,,4.185664653778076,
,0.0001,919,,,
12,,919,,4.251002311706543,
,0.0001,929,,,
12,,929,,4.159048557281494,
,0.0001,939,,,
12,,939,,4.182057857513428,
12,,948,,,4.13223934173584
12,,948,4.196221828460693,,
,0.0001,949,,,
13,,949,,4.205972671508789,
,0.0001,959,,,
13,,959,,4.133411407470703,
,0.0001,969,,,
13,,969,,4.179781913757324,
,0.0001,979,,,
13,,979,,4.07452917098999,
,0.0001,989,,,
13,,989,,4.174567222595215,
,0.0001,999,,,
13,,999,,4.187725067138672,
,0.0001,1009,,,
13,,1009,,4.189291954040527,
,0.0001,1019,,,
13,,1019,,4.1168670654296875,
13,,1021,,,4.080441474914551
13,,1021,4.1401567459106445,,
,0.0001,1029,,,
14,,1029,,4.202796936035156,
,0.0001,1039,,,
14,,1039,,4.0584306716918945,
,0.0001,1049,,,
14,,1049,,4.05860710144043,
,0.0001,1059,,,
14,,1059,,4.087457656860352,
,0.0001,1069,,,
14,,1069,,4.080282211303711,
,0.0001,1079,,,
14,,1079,,4.037586212158203,
,0.0001,1089,,,
14,,1089,,4.012753963470459,
14,,1094,,,4.055079460144043
14,,1094,4.110025405883789,,
,0.0001,1099,,,
15,,1099,,4.0609331130981445,
,0.0001,1109,,,
15,,1109,,4.111734390258789,
,0.0001,1119,,,
15,,1119,,3.9720780849456787,
,0.0001,1129,,,
15,,1129,,4.235691070556641,
,0.0001,1139,,,
15,,1139,,3.9326887130737305,
,0.0001,1149,,,
15,,1149,,4.049522876739502,
,0.0001,1159,,,
15,,1159,,4.000314712524414,
15,,1167,,,3.988861560821533
15,,1167,4.071834564208984,,
,0.0001,1169,,,
16,,1169,,4.004761695861816,
,0.0001,1179,,,
16,,1179,,4.008431434631348,
,0.0001,1189,,,
16,,1189,,4.030681133270264,
,0.0001,1199,,,
16,,1199,,4.044710159301758,
,0.0001,1209,,,
16,,1209,,4.133617401123047,
,0.0001,1219,,,
16,,1219,,3.9880104064941406,
,0.0001,1229,,,
16,,1229,,4.013176441192627,
,0.0001,1239,,,
16,,1239,,4.100771903991699,
16,,1240,,,3.980497121810913
16,,1240,4.019615173339844,,
,0.0001,1249,,,
17,,1249,,3.934453010559082,
,0.0001,1259,,,
17,,1259,,3.982434034347534,
,0.0001,1269,,,
17,,1269,,4.009475231170654,
,0.0001,1279,,,
17,,1279,,3.9188859462738037,
,0.0001,1289,,,
17,,1289,,3.9876394271850586,
,0.0001,1299,,,
17,,1299,,3.9593918323516846,
,0.0001,1309,,,
17,,1309,,4.037322044372559,
17,,1313,,,4.0168304443359375
17,,1313,4.003001689910889,,
,0.0001,1319,,,
18,,1319,,3.969874858856201,
,0.0001,1329,,,
18,,1329,,4.005877494812012,
,0.0001,1339,,,
18,,1339,,3.940725564956665,
,0.0001,1349,,,
18,,1349,,3.928150177001953,
,0.0001,1359,,,
18,,1359,,3.9822280406951904,
,0.0001,1369,,,
18,,1369,,3.950526714324951,
,0.0001,1379,,,
18,,1379,,3.9109201431274414,
18,,1386,,,3.987840175628662
18,,1386,3.9624876976013184,,
,0.0001,1389,,,
19,,1389,,3.851235866546631,
,0.0001,1399,,,
19,,1399,,3.976085662841797,
,0.0001,1409,,,
19,,1409,,3.890472650527954,
,0.0001,1419,,,
19,,1419,,3.9231250286102295,
,0.0001,1429,,,
19,,1429,,3.951169013977051,
,0.0001,1439,,,
19,,1439,,3.791778802871704,
,0.0001,1449,,,
19,,1449,,3.847822666168213,
,0.0001,1459,,,
19,,1459,,1.6780924797058105,
19,,1459,,,3.880068302154541
19,,1459,3.931086301803589,,
,0.0001,1469,,,
20,,1469,,3.8357715606689453,
,0.0001,1479,,,
20,,1479,,3.87959623336792,
,0.0001,1489,,,
20,,1489,,4.06410026550293,
,0.0001,1499,,,
20,,1499,,3.938734769821167,
,0.0001,1509,,,
20,,1509,,3.8331151008605957,
,0.0001,1519,,,
20,,1519,,3.8905277252197266,
,0.0001,1529,,,
20,,1529,,3.9927971363067627,
20,,1532,,,3.8383452892303467
20,,1532,3.883683443069458,,
,0.0001,1539,,,
21,,1539,,3.8763740062713623,
,0.0001,1549,,,
21,,1549,,3.8491334915161133,
,0.0001,1559,,,
21,,1559,,3.8107714653015137,
,0.0001,1569,,,
21,,1569,,3.88771915435791,
,0.0001,1579,,,
21,,1579,,3.9046459197998047,
,0.0001,1589,,,
21,,1589,,3.88340163230896,
,0.0001,1599,,,
21,,1599,,3.7374563217163086,
21,,1605,,,3.850216865539551
21,,1605,3.858628034591675,,
,0.0001,1609,,,
22,,1609,,3.8379855155944824,
,0.0001,1619,,,
22,,1619,,3.688091516494751,
,0.0001,1629,,,
22,,1629,,3.7827064990997314,
,0.0001,1639,,,
22,,1639,,3.8763113021850586,
,0.0001,1649,,,
22,,1649,,3.8589816093444824,
,0.0001,1659,,,
22,,1659,,3.7457566261291504,
,0.0001,1669,,,
22,,1669,,3.7869458198547363,
22,,1678,,,3.7843477725982666
22,,1678,3.8108913898468018,,
,0.0001,1679,,,
23,,1679,,3.7475528717041016,
,0.0001,1689,,,
23,,1689,,3.7111964225769043,
,0.0001,1699,,,
23,,1699,,3.764988899230957,
,0.0001,1709,,,
23,,1709,,3.78737473487854,
,0.0001,1719,,,
23,,1719,,3.6769680976867676,
,0.0001,1729,,,
23,,1729,,3.7248144149780273,
,0.0001,1739,,,
23,,1739,,3.788604497909546,
,0.0001,1749,,,
23,,1749,,3.7686147689819336,
23,,1751,,,3.7751312255859375
23,,1751,3.766468048095703,,
,0.0001,1759,,,
24,,1759,,3.5712223052978516,
,0.0001,1769,,,
24,,1769,,3.8035504817962646,
,0.0001,1779,,,
24,,1779,,3.748185396194458,
,0.0001,1789,,,
24,,1789,,3.688967704772949,
,0.0001,1799,,,
24,,1799,,3.6736698150634766,
,0.0001,1809,,,
24,,1809,,3.633385419845581,
,0.0001,1819,,,
24,,1819,,3.670775890350342,
24,,1824,,,3.875314950942993
24,,1824,3.738335371017456,,
,0.0001,1829,,,
25,,1829,,3.8204264640808105,
,0.0001,1839,,,
25,,1839,,3.583305835723877,
,0.0001,1849,,,
25,,1849,,3.6949446201324463,
,0.0001,1859,,,
25,,1859,,3.6401584148406982,
,0.0001,1869,,,
25,,1869,,3.6874585151672363,
,0.0001,1879,,,
25,,1879,,3.750565767288208,
,0.0001,1889,,,
25,,1889,,3.7168445587158203,
25,,1897,,,3.6965243816375732
25,,1897,3.699380397796631,,
,0.0001,1899,,,
26,,1899,,3.7034831047058105,
,0.0001,1909,,,
26,,1909,,3.7096455097198486,
,0.0001,1919,,,
26,,1919,,3.614816188812256,
,0.0001,1929,,,
26,,1929,,3.756580352783203,
,0.0001,1939,,,
26,,1939,,3.575563669204712,
,0.0001,1949,,,
26,,1949,,3.7086844444274902,
,0.0001,1959,,,
26,,1959,,3.5724477767944336,
,0.0001,1969,,,
26,,1969,,3.634375810623169,
26,,1970,,,4.116240501403809
26,,1970,3.654461622238159,,
,0.0001,1979,,,
27,,1979,,3.813486099243164,
,0.0001,1989,,,
27,,1989,,3.6810998916625977,
,0.0001,1999,,,
27,,1999,,3.7448935508728027,
,0.0001,2009,,,
27,,2009,,3.666186809539795,
,0.0001,2019,,,
27,,2019,,3.752288818359375,
,0.0001,2029,,,
27,,2029,,3.66786527633667,
,0.0001,2039,,,
27,,2039,,3.7274632453918457,
27,,2043,,,3.577113628387451
27,,2043,3.665393114089966,,
,0.0001,2049,,,
28,,2049,,3.4347686767578125,
,0.0001,2059,,,
28,,2059,,3.5977349281311035,
,0.0001,2069,,,
28,,2069,,3.426271438598633,
,0.0001,2079,,,
28,,2079,,3.50486421585083,
,0.0001,2089,,,
28,,2089,,3.650972366333008,
,0.0001,2099,,,
28,,2099,,3.6515870094299316,
,0.0001,2109,,,
28,,2109,,3.5368902683258057,
28,,2116,,,3.722106695175171
28,,2116,3.574753761291504,,
,0.0001,2119,,,
29,,2119,,3.607985496520996,
,0.0001,2129,,,
29,,2129,,3.6053876876831055,
,0.0001,2139,,,
29,,2139,,3.5564355850219727,
,0.0001,2149,,,
29,,2149,,3.6768875122070312,
,0.0001,2159,,,
29,,2159,,3.5654807090759277,
,0.0001,2169,,,
29,,2169,,3.5418381690979004,
,0.0001,2179,,,
29,,2179,,3.4969077110290527,
,0.0001,2189,,,
29,,2189,,1.817500352859497,
29,,2189,,,3.5461814403533936
29,,2189,3.558960199356079,,
,0.0001,2199,,,
30,,2199,,3.477388858795166,
,0.0001,2209,,,
30,,2209,,3.392862319946289,
,0.0001,2219,,,
30,,2219,,3.5322136878967285,
,0.0001,2229,,,
30,,2229,,3.4298408031463623,
,0.0001,2239,,,
30,,2239,,3.651425361633301,
,0.0001,2249,,,
30,,2249,,3.586181640625,
,0.0001,2259,,,
30,,2259,,3.5664758682250977,
30,,2262,,,3.6022181510925293
30,,2262,3.488867998123169,,
,0.0001,2269,,,
31,,2269,,3.3068761825561523,
,0.0001,2279,,,
31,,2279,,3.469677448272705,
,0.0001,2289,,,
31,,2289,,3.398226737976074,
,0.0001,2299,,,
31,,2299,,3.3973498344421387,
,0.0001,2309,,,
31,,2309,,3.5401248931884766,
,0.0001,2319,,,
31,,2319,,3.434335708618164,
,0.0001,2329,,,
31,,2329,,3.369853973388672,
31,,2335,,,3.6497437953948975
31,,2335,3.4501452445983887,,
,0.0001,2339,,,
32,,2339,,3.441622495651245,
,0.0001,2349,,,
32,,2349,,3.688511848449707,
,0.0001,2359,,,
32,,2359,,3.5590925216674805,
,0.0001,2369,,,
32,,2369,,3.455533027648926,
,0.0001,2379,,,
32,,2379,,3.4614109992980957,
,0.0001,2389,,,
32,,2389,,3.4043400287628174,
,0.0001,2399,,,
32,,2399,,3.495184898376465,
32,,2408,,,3.480752944946289
32,,2408,3.4499475955963135,,
,0.0001,2409,,,
33,,2409,,3.4245810508728027,
,0.0001,2419,,,
33,,2419,,3.4047701358795166,
,0.0001,2429,,,
33,,2429,,3.423678159713745,
,0.0001,2439,,,
33,,2439,,3.345842123031616,
,0.0001,2449,,,
33,,2449,,3.2986764907836914,
,0.0001,2459,,,
33,,2459,,3.3794875144958496,
,0.0001,2469,,,
33,,2469,,3.3548882007598877,
,0.0001,2479,,,
33,,2479,,3.5728273391723633,
33,,2481,,,3.474153995513916
33,,2481,3.396981716156006,,
,0.0001,2489,,,
34,,2489,,3.376600742340088,
,0.0001,2499,,,
34,,2499,,3.366727352142334,
,0.0001,2509,,,
34,,2509,,3.5607967376708984,
,0.0001,2519,,,
34,,2519,,3.3789010047912598,
,0.0001,2529,,,
34,,2529,,3.5260980129241943,
,0.0001,2539,,,
34,,2539,,3.3958497047424316,
,0.0001,2549,,,
34,,2549,,3.343824625015259,
34,,2554,,,3.391461133956909
34,,2554,3.3624980449676514,,
,0.0001,2559,,,
35,,2559,,3.2922203540802,
,0.0001,2569,,,
35,,2569,,3.30018949508667,
,0.0001,2579,,,
35,,2579,,3.1515564918518066,
,0.0001,2589,,,
35,,2589,,3.412546396255493,
,0.0001,2599,,,
35,,2599,,3.3888368606567383,
,0.0001,2609,,,
35,,2609,,3.2404961585998535,
,0.0001,2619,,,
35,,2619,,3.303973436355591,
35,,2627,,,3.4071249961853027
35,,2627,3.3293142318725586,,
,0.0001,2629,,,
36,,2629,,3.3545079231262207,
,0.0001,2639,,,
36,,2639,,3.247955322265625,
,0.0001,2649,,,
36,,2649,,3.284148693084717,
,0.0001,2659,,,
36,,2659,,3.403430938720703,
,0.0001,2669,,,
36,,2669,,3.3677120208740234,
,0.0001,2679,,,
36,,2679,,3.303121328353882,
,0.0001,2689,,,
36,,2689,,3.25030517578125,
,0.0001,2699,,,
36,,2699,,3.307835817337036,
36,,2700,,,3.433945894241333
36,,2700,3.304229736328125,,
,0.0001,2709,,,
37,,2709,,3.1714322566986084,
,0.0001,2719,,,
37,,2719,,3.278142213821411,
,0.0001,2729,,,
37,,2729,,3.178806781768799,
,0.0001,2739,,,
37,,2739,,3.2562053203582764,
,0.0001,2749,,,
37,,2749,,3.219226121902466,
,0.0001,2759,,,
37,,2759,,3.3286163806915283,
,0.0001,2769,,,
37,,2769,,3.13248348236084,
37,,2773,,,3.3335134983062744
37,,2773,3.254457950592041,,
,0.0001,2779,,,
38,,2779,,3.279639720916748,
,0.0001,2789,,,
38,,2789,,3.1984405517578125,
,0.0001,2799,,,
38,,2799,,3.292917251586914,
,0.0001,2809,,,
38,,2809,,3.3125343322753906,
,0.0001,2819,,,
38,,2819,,3.1038818359375,
,0.0001,2829,,,
38,,2829,,3.108741283416748,
,0.0001,2839,,,
38,,2839,,3.2578248977661133,
38,,2846,,,3.387691020965576
38,,2846,3.232224225997925,,
,0.0001,2849,,,
39,,2849,,3.3115735054016113,
,0.0001,2859,,,
39,,2859,,3.0945286750793457,
,0.0001,2869,,,
39,,2869,,3.1875576972961426,
,0.0001,2879,,,
39,,2879,,3.2358014583587646,
,0.0001,2889,,,
39,,2889,,3.119997024536133,
,0.0001,2899,,,
39,,2899,,3.1201887130737305,
,0.0001,2909,,,
39,,2909,,3.180999279022217,
,0.0001,2919,,,
39,,2919,,1.2540024518966675,
39,,2919,,,3.262366771697998
39,,2919,3.191596508026123,,
,0.0001,2929,,,
40,,2929,,3.1252260208129883,
,0.0001,2939,,,
40,,2939,,3.050957441329956,
,0.0001,2949,,,
40,,2949,,3.084501266479492,
,0.0001,2959,,,
40,,2959,,3.1106138229370117,
,0.0001,2969,,,
40,,2969,,2.994342803955078,
,0.0001,2979,,,
40,,2979,,3.134840250015259,
,0.0001,2989,,,
40,,2989,,3.069460391998291,
40,,2992,,,3.240135669708252
40,,2992,3.1393182277679443,,
,0.0001,2999,,,
41,,2999,,3.28009033203125,
,0.0001,3009,,,
41,,3009,,3.3215279579162598,
,0.0001,3019,,,
41,,3019,,3.104937791824341,
,0.0001,3029,,,
41,,3029,,3.108720302581787,
,0.0001,3039,,,
41,,3039,,3.080313205718994,
,0.0001,3049,,,
41,,3049,,3.120187282562256,
,0.0001,3059,,,
41,,3059,,3.1457817554473877,
41,,3065,,,3.2980077266693115
41,,3065,3.1338603496551514,,
,0.0001,3069,,,
42,,3069,,3.066312313079834,
,0.0001,3079,,,
42,,3079,,2.9722671508789062,
,0.0001,3089,,,
42,,3089,,2.997551441192627,
,0.0001,3099,,,
42,,3099,,3.132101535797119,
,0.0001,3109,,,
42,,3109,,3.177151679992676,
,0.0001,3119,,,
42,,3119,,3.002960681915283,
,0.0001,3129,,,
42,,3129,,3.210813522338867,
42,,3138,,,3.2024643421173096
42,,3138,3.1245009899139404,,
,0.0001,3139,,,
43,,3139,,3.261608362197876,
,0.0001,3149,,,
43,,3149,,3.061462640762329,
,0.0001,3159,,,
43,,3159,,3.1029510498046875,
,0.0001,3169,,,
43,,3169,,3.2642242908477783,
,0.0001,3179,,,
43,,3179,,3.1310579776763916,
,0.0001,3189,,,
43,,3189,,3.1152782440185547,
,0.0001,3199,,,
43,,3199,,3.0891289710998535,
,0.0001,3209,,,
43,,3209,,3.0574965476989746,
43,,3211,,,3.126589775085449
43,,3211,3.076662063598633,,
,0.0001,3219,,,
44,,3219,,2.980578899383545,
,0.0001,3229,,,
44,,3229,,2.9122371673583984,
,0.0001,3239,,,
44,,3239,,3.064889669418335,
,0.0001,3249,,,
44,,3249,,2.9606308937072754,
,0.0001,3259,,,
44,,3259,,2.9995436668395996,
,0.0001,3269,,,
44,,3269,,3.0426344871520996,
,0.0001,3279,,,
44,,3279,,3.136964797973633,
44,,3284,,,3.1616291999816895
44,,3284,3.0424880981445312,,
,0.0001,3289,,,
45,,3289,,3.010298728942871,
,0.0001,3299,,,
45,,3299,,3.1146059036254883,
,0.0001,3309,,,
45,,3309,,3.0049307346343994,
,0.0001,3319,,,
45,,3319,,3.2449429035186768,
,0.0001,3329,,,
45,,3329,,3.004922866821289,
,0.0001,3339,,,
45,,3339,,2.977841377258301,
,0.0001,3349,,,
45,,3349,,2.9304375648498535,
