epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.0001,9,,,
0,,9,,5.531060695648193,
,0.0001,19,,,
0,,19,,5.44260311126709,
,0.0001,29,,,
0,,29,,5.180239677429199,
,0.0001,39,,,
0,,39,,4.971951007843018,
,0.0001,49,,,
0,,49,,4.815243721008301,
,0.0001,59,,,
0,,59,,4.8648881912231445,
,0.0001,69,,,
0,,69,,4.744176864624023,
0,,72,,,4.66636848449707
0,,72,5.118382930755615,,
,0.0001,79,,,
1,,79,,4.705132007598877,
,0.0001,89,,,
1,,89,,4.588605880737305,
,0.0001,99,,,
1,,99,,4.722275257110596,
,0.0001,109,,,
1,,109,,4.642487525939941,
,0.0001,119,,,
1,,119,,4.507393836975098,
,0.0001,129,,,
1,,129,,4.755954742431641,
,0.0001,139,,,
1,,139,,4.525223255157471,
1,,145,,,4.4959564208984375
1,,145,4.593719959259033,,
,0.0001,149,,,
2,,149,,4.45781135559082,
,0.0001,159,,,
2,,159,,4.430912971496582,
,0.0001,169,,,
2,,169,,4.480369567871094,
,0.0001,179,,,
2,,179,,4.291038513183594,
,0.0001,189,,,
2,,189,,4.132843017578125,
,0.0001,199,,,
2,,199,,4.186284065246582,
,0.0001,209,,,
2,,209,,4.179439544677734,
2,,218,,,4.141819000244141
2,,218,4.290042400360107,,
,0.0001,219,,,
3,,219,,4.1170806884765625,
,0.0001,229,,,
3,,229,,4.026336669921875,
,0.0001,239,,,
3,,239,,3.945418357849121,
,0.0001,249,,,
3,,249,,4.015739440917969,
,0.0001,259,,,
3,,259,,3.8828678131103516,
,0.0001,269,,,
3,,269,,3.8237040042877197,
,0.0001,279,,,
3,,279,,3.8811607360839844,
,0.0001,289,,,
3,,289,,3.9168381690979004,
3,,291,,,3.942399740219116
3,,291,3.9617466926574707,,
,0.0001,299,,,
4,,299,,3.822817325592041,
,0.0001,309,,,
4,,309,,3.8931264877319336,
,0.0001,319,,,
4,,319,,3.8140668869018555,
,0.0001,329,,,
4,,329,,3.801546573638916,
,0.0001,339,,,
4,,339,,3.6432693004608154,
,0.0001,349,,,
4,,349,,3.8054451942443848,
,0.0001,359,,,
4,,359,,3.791778087615967,
4,,364,,,3.71974515914917
4,,364,3.813321352005005,,
,0.0001,369,,,
5,,369,,3.850895881652832,
,0.0001,379,,,
5,,379,,3.6992948055267334,
,0.0001,389,,,
5,,389,,3.67960786819458,
,0.0001,399,,,
5,,399,,3.7887234687805176,
,0.0001,409,,,
5,,409,,3.728350877761841,
,0.0001,419,,,
5,,419,,3.705660820007324,
,0.0001,429,,,
5,,429,,3.693427085876465,
5,,437,,,3.860034465789795
5,,437,3.7391669750213623,,
,0.0001,439,,,
6,,439,,3.6798577308654785,
,0.0001,449,,,
6,,449,,3.6719608306884766,
,0.0001,459,,,
6,,459,,3.629918098449707,
,0.0001,469,,,
6,,469,,3.581371784210205,
,0.0001,479,,,
6,,479,,3.5605084896087646,
,0.0001,489,,,
6,,489,,3.6383135318756104,
,0.0001,499,,,
6,,499,,3.664700508117676,
,0.0001,509,,,
6,,509,,3.684019088745117,
6,,510,,,3.6982405185699463
6,,510,3.6908493041992188,,
,0.0001,519,,,
7,,519,,3.497917890548706,
,0.0001,529,,,
7,,529,,3.7717041969299316,
,0.0001,539,,,
7,,539,,3.559968948364258,
,0.0001,549,,,
7,,549,,3.594066619873047,
,0.0001,559,,,
7,,559,,3.5739052295684814,
,0.0001,569,,,
7,,569,,3.499704599380493,
,0.0001,579,,,
