epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.001,9,,,
0,,9,,4.3974833488464355,
,0.001,19,,,
0,,19,,4.482514381408691,
,0.001,29,,,
0,,29,,4.242338180541992,
,0.001,39,,,
0,,39,,4.070001602172852,
,0.001,49,,,
0,,49,,4.078506946563721,
,0.001,59,,,
0,,59,,3.6622133255004883,
,0.001,69,,,
0,,69,,3.5230586528778076,
,0.001,79,,,
0,,79,,3.637805938720703,
,0.001,89,,,
0,,89,,3.3119616508483887,
,0.001,99,,,
0,,99,,3.352510929107666,
,0.001,109,,,
0,,109,,3.251821994781494,
,0.001,119,,,
0,,119,,3.2668261528015137,
,0.001,129,,,
0,,129,,3.279860496520996,
,0.001,139,,,
0,,139,,3.065929412841797,
0,,144,,,3.077746629714966
0,,144,3.7360169887542725,,
,0.001,149,,,
1,,149,,3.1960701942443848,
,0.001,159,,,
1,,159,,3.3168423175811768,
,0.001,169,,,
1,,169,,3.062911033630371,
,0.001,179,,,
1,,179,,3.309967279434204,
,0.001,189,,,
1,,189,,3.1893978118896484,
,0.001,199,,,
1,,199,,2.9531545639038086,
,0.001,209,,,
1,,209,,3.0978314876556396,
,0.001,219,,,
1,,219,,2.889738082885742,
,0.001,229,,,
1,,229,,3.222590208053589,
,0.001,239,,,
1,,239,,2.846360683441162,
,0.001,249,,,
1,,249,,3.032907009124756,
,0.001,259,,,
1,,259,,2.9946093559265137,
,0.001,269,,,
1,,269,,2.940295696258545,
,0.001,279,,,
1,,279,,2.826462745666504,
,0.001,289,,,
1,,289,,1.6415148973464966,
1,,289,,,3.160982608795166
1,,289,3.0768234729766846,,
,0.001,299,,,
2,,299,,3.1134798526763916,
,0.001,309,,,
2,,309,,3.018742799758911,
,0.001,319,,,
2,,319,,3.048802137374878,
,0.001,329,,,
2,,329,,2.94724178314209,
,0.001,339,,,
2,,339,,3.0726869106292725,
,0.001,349,,,
2,,349,,3.0770108699798584,
,0.001,359,,,
2,,359,,2.9149746894836426,
,0.001,369,,,
2,,369,,2.9760184288024902,
,0.001,379,,,
2,,379,,3.0753557682037354,
,0.001,389,,,
2,,389,,2.749868869781494,
,0.001,399,,,
2,,399,,2.7487778663635254,
,0.001,409,,,
2,,409,,2.8584721088409424,
,0.001,419,,,
2,,419,,3.0339059829711914,
,0.001,429,,,
2,,429,,2.9750900268554688,
2,,434,,,2.9173011779785156
2,,434,2.920562982559204,,
,0.001,439,,,
3,,439,,2.777360200881958,
,0.001,449,,,
3,,449,,2.654971122741699,
,0.001,459,,,
3,,459,,2.874357223510742,
,0.001,469,,,
3,,469,,2.708066940307617,
,0.001,479,,,
3,,479,,3.0784072875976562,
,0.001,489,,,
3,,489,,2.7425317764282227,
,0.001,499,,,
3,,499,,3.157205104827881,
,0.001,509,,,
3,,509,,2.8261289596557617,
,0.001,519,,,
3,,519,,2.769526481628418,
,0.001,529,,,
3,,529,,2.924771308898926,
,0.001,539,,,
3,,539,,2.67510724067688,
,0.001,549,,,
3,,549,,2.7412102222442627,
,0.001,559,,,
3,,559,,2.6556382179260254,
,0.001,569,,,
3,,569,,2.8051629066467285,
,0.001,579,,,
3,,579,,1.0638153553009033,
3,,579,,,2.768557071685791
