epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.001,9,,,
0,,9,,5.1489152908325195,
,0.001,19,,,
0,,19,,4.904965400695801,
,0.001,29,,,
0,,29,,4.798488616943359,
,0.001,39,,,
0,,39,,4.525295257568359,
,0.001,49,,,
0,,49,,4.3493218421936035,
,0.001,59,,,
0,,59,,4.196101188659668,
,0.001,69,,,
0,,69,,3.9734010696411133,
0,,72,,,4.435523986816406
0,,72,4.697862148284912,,
,0.001,79,,,
1,,79,,4.114786624908447,
,0.001,89,,,
1,,89,,4.073224067687988,
,0.001,99,,,
1,,99,,3.8380544185638428,
,0.001,109,,,
1,,109,,3.9357290267944336,
,0.001,119,,,
1,,119,,3.7182254791259766,
,0.001,129,,,
1,,129,,3.770843982696533,
,0.001,139,,,
1,,139,,3.6882190704345703,
1,,145,,,3.9038867950439453
1,,145,3.9335806369781494,,
,0.001,149,,,
2,,149,,3.829646587371826,
,0.001,159,,,
2,,159,,3.7507784366607666,
,0.001,169,,,
2,,169,,3.800621509552002,
,0.001,179,,,
2,,179,,3.725515365600586,
,0.001,189,,,
2,,189,,3.6801517009735107,
,0.001,199,,,
2,,199,,3.7005972862243652,
,0.001,209,,,
2,,209,,3.5713138580322266,
2,,218,,,3.8426969051361084
2,,218,3.714376926422119,,
,0.001,219,,,
3,,219,,3.9455485343933105,
,0.001,229,,,
3,,229,,3.6008145809173584,
,0.001,239,,,
3,,239,,3.844534397125244,
,0.001,249,,,
3,,249,,3.5914955139160156,
,0.001,259,,,
3,,259,,3.877645969390869,
,0.001,269,,,
3,,269,,3.518866777420044,
,0.001,279,,,
3,,279,,3.5223469734191895,
,0.001,289,,,
3,,289,,3.527874231338501,
3,,291,,,3.5325613021850586
3,,291,3.643361806869507,,
,0.001,299,,,
4,,299,,3.530214548110962,
,0.001,309,,,
4,,309,,3.4751648902893066,
,0.001,319,,,
4,,319,,3.4143319129943848,
,0.001,329,,,
4,,329,,3.503721237182617,
,0.001,339,,,
4,,339,,3.681652069091797,
,0.001,349,,,
4,,349,,3.447866439819336,
,0.001,359,,,
4,,359,,3.3279480934143066,
4,,364,,,3.6122565269470215
4,,364,3.51021671295166,,
,0.001,369,,,
5,,369,,3.50339937210083,
,0.001,379,,,
5,,379,,3.4170665740966797,
,0.001,389,,,
5,,389,,3.3978047370910645,
,0.001,399,,,
5,,399,,3.545454978942871,
,0.001,409,,,
5,,409,,3.393005132675171,
,0.001,419,,,
5,,419,,3.273200511932373,
,0.001,429,,,
5,,429,,3.3933372497558594,
5,,437,,,3.395721673965454
