epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.001,9,,,
0,,9,,5.2072954177856445,
,0.001,19,,,
0,,19,,5.096413612365723,
,0.001,29,,,
0,,29,,4.727625370025635,
,0.001,39,,,
0,,39,,4.478150367736816,
,0.001,49,,,
0,,49,,4.282541751861572,
,0.001,59,,,
0,,59,,4.356412887573242,
,0.001,69,,,
0,,69,,4.108054161071777,
0,,72,,,4.134685516357422
0,,72,4.658715724945068,,
,0.001,79,,,
1,,79,,3.8062925338745117,
,0.001,89,,,
1,,89,,3.9623095989227295,
,0.001,99,,,
1,,99,,3.946146011352539,
,0.001,109,,,
1,,109,,3.9361982345581055,
,0.001,119,,,
1,,119,,3.7422003746032715,
,0.001,129,,,
1,,129,,3.801652431488037,
,0.001,139,,,
1,,139,,3.6772279739379883,
1,,145,,,3.804868698120117
1,,145,3.862816572189331,,
,0.001,149,,,
2,,149,,3.668203353881836,
,0.001,159,,,
2,,159,,3.696920871734619,
,0.001,169,,,
2,,169,,3.6414661407470703,
,0.001,179,,,
2,,179,,3.8444809913635254,
,0.001,189,,,
2,,189,,3.526092767715454,
,0.001,199,,,
2,,199,,3.70410418510437,
,0.001,209,,,
2,,209,,3.686245918273926,
2,,218,,,3.714055061340332
2,,218,3.688131093978882,,
,0.001,219,,,
3,,219,,3.9627151489257812,
,0.001,229,,,
3,,229,,3.5370538234710693,
,0.001,239,,,
3,,239,,3.5004866123199463,
,0.001,249,,,
3,,249,,3.8478071689605713,
,0.001,259,,,
3,,259,,3.6008310317993164,
,0.001,269,,,
3,,269,,3.830883502960205,
,0.001,279,,,
3,,279,,3.584735155105591,
,0.001,289,,,
3,,289,,3.373225212097168,
3,,291,,,3.5964972972869873
3,,291,3.632270336151123,,
,0.001,299,,,
4,,299,,3.586573600769043,
,0.001,309,,,
4,,309,,3.3924498558044434,
,0.001,319,,,
4,,319,,3.30087947845459,
,0.001,329,,,
4,,329,,3.3012259006500244,
,0.001,339,,,
4,,339,,3.41241455078125,
,0.001,349,,,
4,,349,,3.4108686447143555,
,0.001,359,,,
4,,359,,3.7453603744506836,
4,,364,,,3.8253159523010254
4,,364,3.4803457260131836,,
,0.001,369,,,
5,,369,,3.5987870693206787,
,0.001,379,,,
5,,379,,3.3512520790100098,
,0.001,389,,,
5,,389,,3.428358554840088,
,0.001,399,,,
5,,399,,3.3008575439453125,
,0.001,409,,,
5,,409,,3.3499302864074707,
,0.001,419,,,
5,,419,,3.3866820335388184,
,0.001,429,,,
5,,429,,3.2784647941589355,
5,,437,,,3.212608814239502
5,,437,3.3798630237579346,,
,0.001,439,,,
6,,439,,3.338942289352417,
,0.001,449,,,
6,,449,,3.4345967769622803,
,0.001,459,,,
6,,459,,3.306601047515869,
,0.001,469,,,
6,,469,,3.3055419921875,
,0.001,479,,,
6,,479,,3.3768787384033203,
,0.001,489,,,
6,,489,,3.199118137359619,
,0.001,499,,,
6,,499,,3.2936840057373047,
,0.001,509,,,
6,,509,,3.357632637023926,
6,,510,,,3.313749074935913
6,,510,3.256317138671875,,
,0.001,519,,,
7,,519,,3.26499080657959,
,0.001,529,,,
7,,529,,3.216215133666992,
,0.001,539,,,
7,,539,,3.190967559814453,
,0.001,549,,,
7,,549,,3.3200478553771973,
,0.001,559,,,
7,,559,,3.070240020751953,
,0.001,569,,,
7,,569,,3.258641242980957,
,0.001,579,,,
7,,579,,3.031289577484131,
7,,583,,,3.278651714324951
7,,583,3.1890666484832764,,
,0.001,589,,,
8,,589,,3.222172498703003,
,0.001,599,,,
8,,599,,3.239560127258301,
,0.001,609,,,
8,,609,,3.0453786849975586,
,0.001,619,,,
8,,619,,3.049135208129883,
,0.001,629,,,
8,,629,,3.0624606609344482,
,0.001,639,,,
8,,639,,3.075314998626709,
,0.001,649,,,
8,,649,,2.9748106002807617,
8,,656,,,3.102639675140381
8,,656,3.089242458343506,,
,0.001,659,,,
9,,659,,2.9563255310058594,
,0.001,669,,,
9,,669,,3.260432481765747,
,0.001,679,,,
9,,679,,3.0333237648010254,
,0.001,689,,,
9,,689,,2.9860334396362305,
,0.001,699,,,
9,,699,,2.976119041442871,
,0.001,709,,,
9,,709,,2.9783613681793213,
,0.001,719,,,
9,,719,,3.2261130809783936,
,0.001,729,,,
9,,729,,1.0557259321212769,
9,,729,,,3.0596139430999756
9,,729,3.0448153018951416,,
,0.001,739,,,
10,,739,,3.040438413619995,
,0.001,749,,,
10,,749,,2.937655448913574,
,0.001,759,,,
10,,759,,2.9518043994903564,
,0.001,769,,,
10,,769,,2.9225258827209473,
,0.001,779,,,
10,,779,,2.9655404090881348,
,0.001,789,,,
10,,789,,2.946514129638672,
,0.001,799,,,
10,,799,,2.8398799896240234,
10,,802,,,2.9759883880615234
10,,802,2.9595370292663574,,
,0.001,809,,,
11,,809,,2.793576240539551,
,0.001,819,,,
11,,819,,2.797304391860962,
,0.001,829,,,
11,,829,,2.7886672019958496,
,0.001,839,,,
11,,839,,3.041884422302246,
,0.001,849,,,
11,,849,,2.8523387908935547,
,0.001,859,,,
11,,859,,2.8829922676086426,
,0.001,869,,,
11,,869,,2.721257209777832,
11,,875,,,3.1108691692352295
11,,875,2.8903136253356934,,
,0.001,879,,,
12,,879,,2.717658519744873,
,0.001,889,,,
12,,889,,2.8433175086975098,
,0.001,899,,,
12,,899,,2.624000072479248,
,0.001,909,,,
12,,909,,2.6409096717834473,
,0.001,919,,,
12,,919,,2.754448652267456,
,0.001,929,,,
12,,929,,2.8151235580444336,
,0.001,939,,,
12,,939,,2.7485036849975586,
12,,948,,,2.8879435062408447
12,,948,2.771158218383789,,
,0.001,949,,,
13,,949,,2.843414068222046,
,0.001,959,,,
13,,959,,2.7056169509887695,
,0.001,969,,,
13,,969,,2.746351718902588,
,0.001,979,,,
13,,979,,2.843458652496338,
,0.001,989,,,
13,,989,,2.7992115020751953,
,0.001,999,,,
13,,999,,2.873342514038086,
,0.001,1009,,,
13,,1009,,2.5941572189331055,
,0.001,1019,,,
13,,1019,,2.656609058380127,
13,,1021,,,2.7797138690948486
13,,1021,2.7107553482055664,,
,0.001,1029,,,
14,,1029,,2.594172477722168,
,0.001,1039,,,
14,,1039,,2.63364315032959,
,0.001,1049,,,
14,,1049,,2.4873132705688477,
,0.001,1059,,,
14,,1059,,2.671804428100586,
,0.001,1069,,,
14,,1069,,2.6303787231445312,
,0.001,1079,,,
14,,1079,,2.6857173442840576,
,0.001,1089,,,
14,,1089,,2.587219715118408,
14,,1094,,,2.658460855484009
14,,1094,2.6101155281066895,,
,0.001,1099,,,
15,,1099,,2.604668617248535,
,0.001,1109,,,
15,,1109,,2.7159862518310547,
,0.001,1119,,,
15,,1119,,2.5427017211914062,
,0.001,1129,,,
15,,1129,,2.6835732460021973,
,0.001,1139,,,
15,,1139,,2.4607834815979004,
,0.001,1149,,,
15,,1149,,2.5633544921875,
,0.001,1159,,,
15,,1159,,2.583937168121338,
15,,1167,,,2.6164398193359375
15,,1167,2.5501630306243896,,
,0.001,1169,,,
16,,1169,,2.3723936080932617,
,0.001,1179,,,
16,,1179,,2.5347466468811035,
,0.001,1189,,,
16,,1189,,2.5175366401672363,
,0.001,1199,,,
16,,1199,,2.66880464553833,
,0.001,1209,,,
16,,1209,,2.519188165664673,
,0.001,1219,,,
16,,1219,,2.5878522396087646,
,0.001,1229,,,
16,,1229,,2.494222640991211,
,0.001,1239,,,
16,,1239,,2.5157172679901123,
16,,1240,,,2.7522315979003906
16,,1240,2.4846954345703125,,
,0.001,1249,,,
17,,1249,,2.423300266265869,
,0.001,1259,,,
17,,1259,,2.4257254600524902,
,0.001,1269,,,
17,,1269,,2.4690659046173096,
,0.001,1279,,,
17,,1279,,2.272616386413574,
,0.001,1289,,,
17,,1289,,2.5427064895629883,
,0.001,1299,,,
17,,1299,,2.426913261413574,
,0.001,1309,,,
17,,1309,,2.5638999938964844,
17,,1313,,,2.5364296436309814
17,,1313,2.446859359741211,,
,0.001,1319,,,
18,,1319,,2.350468635559082,
,0.001,1329,,,
18,,1329,,2.266585111618042,
,0.001,1339,,,
18,,1339,,2.5373682975769043,
,0.001,1349,,,
18,,1349,,2.4249820709228516,
,0.001,1359,,,
18,,1359,,2.2061777114868164,
,0.001,1369,,,
18,,1369,,2.362143039703369,
,0.001,1379,,,
18,,1379,,2.2551307678222656,
18,,1386,,,2.4775094985961914
18,,1386,2.338371753692627,,
,0.001,1389,,,
19,,1389,,2.3641817569732666,
,0.001,1399,,,
19,,1399,,2.4606497287750244,
,0.001,1409,,,
19,,1409,,2.435124397277832,
,0.001,1419,,,
19,,1419,,2.2817893028259277,
,0.001,1429,,,
19,,1429,,2.260633945465088,
,0.001,1439,,,
19,,1439,,2.2897019386291504,
,0.001,1449,,,
19,,1449,,2.368851900100708,
,0.001,1459,,,
19,,1459,,0.5556468367576599,
19,,1459,,,2.4549379348754883
19,,1459,2.2940456867218018,,
,0.001,1469,,,
20,,1469,,2.258091449737549,
,0.001,1479,,,
20,,1479,,2.046234130859375,
,0.001,1489,,,
20,,1489,,2.1674294471740723,
,0.001,1499,,,
20,,1499,,2.2898621559143066,
,0.001,1509,,,
20,,1509,,2.1367626190185547,
,0.001,1519,,,
20,,1519,,2.2612128257751465,
,0.001,1529,,,
20,,1529,,2.1641736030578613,
20,,1532,,,2.460956335067749
20,,1532,2.2032039165496826,,
,0.001,1539,,,
21,,1539,,2.1746671199798584,
,0.001,1549,,,
21,,1549,,2.0813708305358887,
,0.001,1559,,,
21,,1559,,2.131761074066162,
,0.001,1569,,,
21,,1569,,2.2330851554870605,
,0.001,1579,,,
21,,1579,,2.308289051055908,
,0.001,1589,,,
21,,1589,,2.18440580368042,
,0.001,1599,,,
21,,1599,,2.1807098388671875,
21,,1605,,,2.4114534854888916
21,,1605,2.160494804382324,,
,0.001,1609,,,
22,,1609,,2.2502100467681885,
,0.001,1619,,,
22,,1619,,2.053140640258789,
,0.001,1629,,,
22,,1629,,2.0907649993896484,
,0.001,1639,,,
22,,1639,,2.181497573852539,
,0.001,1649,,,
22,,1649,,2.0405807495117188,
,0.001,1659,,,
22,,1659,,2.214967727661133,
,0.001,1669,,,
22,,1669,,2.2634010314941406,
22,,1678,,,2.518073081970215
22,,1678,2.1322929859161377,,
,0.001,1679,,,
23,,1679,,2.1533308029174805,
,0.001,1689,,,
23,,1689,,2.061739444732666,
,0.001,1699,,,
23,,1699,,2.1624393463134766,
,0.001,1709,,,
23,,1709,,2.13761568069458,
,0.001,1719,,,
23,,1719,,2.2177016735076904,
,0.001,1729,,,
23,,1729,,2.0835561752319336,
,0.001,1739,,,
23,,1739,,2.1061177253723145,
,0.001,1749,,,
23,,1749,,2.0095765590667725,
23,,1751,,,2.5008578300476074
23,,1751,2.0964059829711914,,
,0.001,1759,,,
24,,1759,,2.1460304260253906,
,0.001,1769,,,
24,,1769,,2.0590224266052246,
,0.001,1779,,,
24,,1779,,2.054469108581543,
,0.001,1789,,,
24,,1789,,1.9935250282287598,
,0.001,1799,,,
24,,1799,,1.98809814453125,
,0.001,1809,,,
24,,1809,,2.0674681663513184,
,0.001,1819,,,
24,,1819,,2.0296366214752197,
24,,1824,,,2.4008350372314453
24,,1824,2.027397632598877,,
,0.001,1829,,,
25,,1829,,1.974853515625,
,0.001,1839,,,
25,,1839,,2.0518975257873535,
,0.001,1849,,,
25,,1849,,2.058291435241699,
,0.001,1859,,,
25,,1859,,1.9997413158416748,
,0.001,1869,,,
25,,1869,,2.1037256717681885,
,0.001,1879,,,
25,,1879,,2.187105894088745,
,0.001,1889,,,
25,,1889,,1.948129653930664,
25,,1897,,,2.424915075302124
25,,1897,1.9665749073028564,,
,0.001,1899,,,
26,,1899,,2.03427791595459,
,0.001,1909,,,
26,,1909,,1.9585038423538208,
,0.001,1919,,,
26,,1919,,1.9822710752487183,
,0.001,1929,,,
26,,1929,,1.912193775177002,
,0.001,1939,,,
26,,1939,,1.7720263004302979,
,0.001,1949,,,
26,,1949,,1.9228463172912598,
,0.001,1959,,,
26,,1959,,2.0753777027130127,
,0.001,1969,,,
26,,1969,,1.8494634628295898,
26,,1970,,,2.4067625999450684
26,,1970,1.9222389459609985,,
,0.001,1979,,,
27,,1979,,2.061351776123047,
,0.001,1989,,,
27,,1989,,1.860605001449585,
,0.001,1999,,,
27,,1999,,1.9579246044158936,
,0.001,2009,,,
27,,2009,,1.7888844013214111,
,0.001,2019,,,
27,,2019,,1.8437552452087402,
,0.001,2029,,,
27,,2029,,1.894101619720459,
,0.001,2039,,,
27,,2039,,2.0340423583984375,
27,,2043,,,2.309002161026001
27,,2043,1.8950204849243164,,
,0.001,2049,,,
28,,2049,,1.9328581094741821,
,0.001,2059,,,
28,,2059,,1.8371236324310303,
,0.001,2069,,,
28,,2069,,1.8571860790252686,
,0.001,2079,,,
28,,2079,,1.9071836471557617,
,0.001,2089,,,
28,,2089,,1.9325066804885864,
,0.001,2099,,,
28,,2099,,1.894026279449463,
,0.001,2109,,,
28,,2109,,1.8310654163360596,
28,,2116,,,2.4001553058624268
28,,2116,1.8481913805007935,,
,0.001,2119,,,
29,,2119,,1.8767378330230713,
,0.001,2129,,,
29,,2129,,1.8168233633041382,
,0.001,2139,,,
29,,2139,,1.8090251684188843,
,0.001,2149,,,
29,,2149,,1.86154305934906,
,0.001,2159,,,
29,,2159,,1.8284790515899658,
,0.001,2169,,,
29,,2169,,1.817528486251831,
,0.001,2179,,,
29,,2179,,1.760493278503418,
,0.001,2189,,,
29,,2189,,0.8323890566825867,
29,,2189,,,2.4485387802124023
29,,2189,1.7984156608581543,,
,0.001,2199,,,
30,,2199,,1.725541114807129,
,0.001,2209,,,
30,,2209,,1.7049027681350708,
,0.001,2219,,,
30,,2219,,1.7250473499298096,
,0.001,2229,,,
30,,2229,,1.788766860961914,
,0.001,2239,,,
30,,2239,,1.7976536750793457,
,0.001,2249,,,
30,,2249,,1.7160990238189697,
,0.001,2259,,,
30,,2259,,1.7995710372924805,
30,,2262,,,2.30656099319458
30,,2262,1.7734285593032837,,
,0.001,2269,,,
31,,2269,,1.7432563304901123,
,0.001,2279,,,
31,,2279,,1.7306551933288574,
,0.001,2289,,,
31,,2289,,1.789378046989441,
,0.001,2299,,,
31,,2299,,1.6561715602874756,
,0.001,2309,,,
31,,2309,,1.6769890785217285,
,0.001,2319,,,
31,,2319,,1.6737197637557983,
,0.001,2329,,,
31,,2329,,1.7998201847076416,
31,,2335,,,2.2767200469970703
31,,2335,1.7255808115005493,,
,0.001,2339,,,
32,,2339,,1.6650770902633667,
,0.001,2349,,,
32,,2349,,1.675647497177124,
,0.001,2359,,,
32,,2359,,1.7665300369262695,
,0.001,2369,,,
32,,2369,,1.7474007606506348,
,0.001,2379,,,
32,,2379,,1.7759190797805786,
,0.001,2389,,,
32,,2389,,1.6926097869873047,
,0.001,2399,,,
32,,2399,,1.8100117444992065,
32,,2408,,,2.3114352226257324
32,,2408,1.7123126983642578,,
,0.001,2409,,,
33,,2409,,1.6625696420669556,
,0.001,2419,,,
33,,2419,,1.704011082649231,
,0.001,2429,,,
33,,2429,,1.6146692037582397,
,0.001,2439,,,
33,,2439,,1.67955482006073,
,0.001,2449,,,
33,,2449,,1.5199450254440308,
,0.001,2459,,,
33,,2459,,1.667008876800537,
,0.001,2469,,,
33,,2469,,1.7423064708709717,
,0.001,2479,,,
33,,2479,,1.727826714515686,
33,,2481,,,2.378272294998169
33,,2481,1.6711890697479248,,
,0.001,2489,,,
34,,2489,,1.6752903461456299,
,0.001,2499,,,
34,,2499,,1.584911823272705,
,0.001,2509,,,
34,,2509,,1.642905831336975,
,0.001,2519,,,
34,,2519,,1.5867743492126465,
,0.001,2529,,,
34,,2529,,1.5524108409881592,
,0.001,2539,,,
34,,2539,,1.6548590660095215,
,0.001,2549,,,
34,,2549,,1.7768025398254395,
34,,2554,,,2.262211799621582
34,,2554,1.641611933708191,,
,0.001,2559,,,
35,,2559,,1.6751477718353271,
,0.001,2569,,,
35,,2569,,1.6385509967803955,
,0.001,2579,,,
35,,2579,,1.7109949588775635,
,0.001,2589,,,
35,,2589,,1.6591531038284302,
,0.001,2599,,,
35,,2599,,1.5924735069274902,
,0.001,2609,,,
35,,2609,,1.7031958103179932,
,0.001,2619,,,
35,,2619,,1.7386882305145264,
35,,2627,,,2.284212589263916
35,,2627,1.6523789167404175,,
,0.001,2629,,,
36,,2629,,1.6639771461486816,
,0.001,2639,,,
36,,2639,,1.5399900674819946,
,0.001,2649,,,
36,,2649,,1.4952826499938965,
,0.001,2659,,,
36,,2659,,1.5885753631591797,
,0.001,2669,,,
36,,2669,,1.6274940967559814,
,0.001,2679,,,
36,,2679,,1.5621223449707031,
,0.001,2689,,,
36,,2689,,1.469987392425537,
,0.001,2699,,,
36,,2699,,1.585964322090149,
36,,2700,,,2.2278754711151123
36,,2700,1.5673649311065674,,
,0.001,2709,,,
37,,2709,,1.5509514808654785,
,0.001,2719,,,
37,,2719,,1.6829895973205566,
,0.001,2729,,,
37,,2729,,1.5466907024383545,
,0.001,2739,,,
37,,2739,,1.515307903289795,
,0.001,2749,,,
37,,2749,,1.588649868965149,
,0.001,2759,,,
37,,2759,,1.5209496021270752,
,0.001,2769,,,
37,,2769,,1.5544323921203613,
37,,2773,,,2.28804612159729
37,,2773,1.5479484796524048,,
,0.001,2779,,,
38,,2779,,1.5028553009033203,
,0.001,2789,,,
38,,2789,,1.6159557104110718,
,0.001,2799,,,
38,,2799,,1.5213127136230469,
,0.001,2809,,,
38,,2809,,1.4958853721618652,
,0.001,2819,,,
38,,2819,,1.488023281097412,
,0.001,2829,,,
38,,2829,,1.5148141384124756,
,0.001,2839,,,
38,,2839,,1.470247507095337,
38,,2846,,,2.3913912773132324
38,,2846,1.5338410139083862,,
,0.001,2849,,,
39,,2849,,1.4272938966751099,
,0.001,2859,,,
39,,2859,,1.4587782621383667,
,0.001,2869,,,
39,,2869,,1.605299711227417,
,0.001,2879,,,
39,,2879,,1.5582616329193115,
,0.001,2889,,,
39,,2889,,1.4882466793060303,
,0.001,2899,,,
39,,2899,,1.4718379974365234,
,0.001,2909,,,
39,,2909,,1.5210902690887451,
,0.001,2919,,,
39,,2919,,0.3231756091117859,
39,,2919,,,2.2132434844970703
39,,2919,1.5110000371932983,,
,0.001,2929,,,
40,,2929,,1.4169859886169434,
,0.001,2939,,,
40,,2939,,1.4369336366653442,
,0.001,2949,,,
40,,2949,,1.5760239362716675,
,0.001,2959,,,
40,,2959,,1.4752452373504639,
,0.001,2969,,,
40,,2969,,1.4925868511199951,
,0.001,2979,,,
40,,2979,,1.4670000076293945,
,0.001,2989,,,
40,,2989,,1.5434170961380005,
40,,2992,,,2.243237257003784
40,,2992,1.4933009147644043,,
,0.001,2999,,,
41,,2999,,1.4477616548538208,
,0.001,3009,,,
41,,3009,,1.3855762481689453,
,0.001,3019,,,
41,,3019,,1.4250071048736572,
,0.001,3029,,,
41,,3029,,1.4415007829666138,
,0.001,3039,,,
41,,3039,,1.4844671487808228,
,0.001,3049,,,
41,,3049,,1.4840831756591797,
,0.001,3059,,,
41,,3059,,1.468205213546753,
41,,3065,,,2.160274028778076
41,,3065,1.4525681734085083,,
,0.001,3069,,,
42,,3069,,1.3532330989837646,
,0.001,3079,,,
42,,3079,,1.3674564361572266,
,0.001,3089,,,
42,,3089,,1.4788440465927124,
,0.001,3099,,,
42,,3099,,1.4221382141113281,
,0.001,3109,,,
42,,3109,,1.4214824438095093,
,0.001,3119,,,
42,,3119,,1.5043995380401611,
,0.001,3129,,,
42,,3129,,1.49299955368042,
42,,3138,,,2.216609239578247
42,,3138,1.4171059131622314,,
,0.001,3139,,,
43,,3139,,1.4415525197982788,
,0.001,3149,,,
43,,3149,,1.366573691368103,
,0.001,3159,,,
43,,3159,,1.3795671463012695,
,0.001,3169,,,
43,,3169,,1.3537249565124512,
,0.001,3179,,,
43,,3179,,1.3345777988433838,
,0.001,3189,,,
43,,3189,,1.4217863082885742,
,0.001,3199,,,
43,,3199,,1.4120720624923706,
,0.001,3209,,,
43,,3209,,1.4777097702026367,
43,,3211,,,2.2517447471618652
43,,3211,1.401261329650879,,
,0.001,3219,,,
44,,3219,,1.3875164985656738,
,0.001,3229,,,
44,,3229,,1.4246994256973267,
,0.001,3239,,,
44,,3239,,1.2857577800750732,
,0.001,3249,,,
44,,3249,,1.3938778638839722,
,0.001,3259,,,
44,,3259,,1.4525279998779297,
,0.001,3269,,,
44,,3269,,1.4035685062408447,
,0.001,3279,,,
44,,3279,,1.472585916519165,
44,,3284,,,2.26823091506958
44,,3284,1.4049372673034668,,
,0.001,3289,,,
45,,3289,,1.35227370262146,
,0.001,3299,,,
45,,3299,,1.2977030277252197,
,0.001,3309,,,
45,,3309,,1.4678274393081665,
,0.001,3319,,,
45,,3319,,1.3782726526260376,
,0.001,3329,,,
45,,3329,,1.3334354162216187,
,0.001,3339,,,
45,,3339,,1.372420072555542,
,0.001,3349,,,
45,,3349,,1.4462037086486816,
45,,3357,,,2.1149535179138184
45,,3357,1.366869330406189,,
,0.001,3359,,,
46,,3359,,1.3124818801879883,
,0.001,3369,,,
46,,3369,,1.3318463563919067,
,0.001,3379,,,
46,,3379,,1.4251611232757568,
,0.001,3389,,,
46,,3389,,1.2697029113769531,
,0.001,3399,,,
46,,3399,,1.2185468673706055,
,0.001,3409,,,
46,,3409,,1.2850258350372314,
,0.001,3419,,,
46,,3419,,1.3029435873031616,
,0.001,3429,,,
46,,3429,,1.3221362829208374,
46,,3430,,,2.1545376777648926
46,,3430,1.3319212198257446,,
,0.001,3439,,,
47,,3439,,1.413846492767334,
,0.001,3449,,,
47,,3449,,1.3826425075531006,
,0.001,3459,,,
47,,3459,,1.289921522140503,
,0.001,3469,,,
47,,3469,,1.3248424530029297,
,0.001,3479,,,
47,,3479,,1.3480157852172852,
,0.001,3489,,,
47,,3489,,1.2868931293487549,
,0.001,3499,,,
47,,3499,,1.4655895233154297,
47,,3503,,,2.1594953536987305
47,,3503,1.3255023956298828,,
,0.001,3509,,,
48,,3509,,1.3071434497833252,
,0.001,3519,,,
48,,3519,,1.3537228107452393,
,0.001,3529,,,
48,,3529,,1.2477617263793945,
,0.001,3539,,,
48,,3539,,1.3412981033325195,
,0.001,3549,,,
48,,3549,,1.3292336463928223,
,0.001,3559,,,
48,,3559,,1.3602869510650635,
,0.001,3569,,,
48,,3569,,1.3195501565933228,
48,,3576,,,2.1405251026153564
48,,3576,1.2999788522720337,,
,0.001,3579,,,
49,,3579,,1.2681992053985596,
,0.001,3589,,,
49,,3589,,1.2191921472549438,
,0.001,3599,,,
49,,3599,,1.2664660215377808,
,0.001,3609,,,
49,,3609,,1.289732575416565,
,0.001,3619,,,
49,,3619,,1.324491262435913,
,0.001,3629,,,
49,,3629,,1.2630095481872559,
,0.001,3639,,,
49,,3639,,1.325294017791748,
,0.001,3649,,,
49,,3649,,0.41262251138687134,
49,,3649,,,2.2372753620147705
49,,3649,1.2997698783874512,,
,0.001,3659,,,
